t,S,I,R,D
1,1,0,0,0
2,0.999999778237196,1.05152305227699e-06,1.07656069003234e-06,0
3,0.999999778237196,1.05152305227699e-06,1.07656069003234e-06,0
4,0.999999778237196,1.05152305227699e-06,1.07656069003234e-06,0
5,0.999999778237196,1.05152305227699e-06,1.07656069003234e-06,0
6,0.999999778237196,1.05152305227699e-06,1.07656069003234e-06,0
7,0.999999667355795,1.57728457841549e-06,1.61484103504851e-06,0
8,0.999999334711589,3.15456915683098e-06,3.22968207009702e-06,0
9,0.99999878030458,5.78337678752347e-06,5.92108379517787e-06,0
10,0.999998669423178,6.30913831366197e-06,6.45936414019404e-06,0
11,0.999998447660375,7.36066136593896e-06,7.53592483022638e-06,0
12,0.999998115016169,8.93794594435445e-06,9.15076586527489e-06,0
13,0.999997893253366,9.98946899663145e-06,1.02273265553072e-05,0
14,0.99999756060916,1.15667535750469e-05,1.18421675903557e-05,0
15,0.999995786506731,1.99789379932629e-05,2.04546531106145e-05,0
16,0.99999323623449,3.20714530944483e-05,3.28351010459864e-05,0
17,0.999990353318043,4.57412527740493e-05,4.68303900164068e-05,0
18,0.999987803045801,5.78337678752347e-05,5.92108379517787e-05,0
19,0.999986694231783,6.30913831366197e-05,6.45936414019404e-05,0
20,0.999983589552533,7.78127058684976e-05,7.96654910623931e-05,0
21,0.999979708703469,9.6214359283345e-05,9.85053031379591e-05,0
22,0.999976271380013,0.000112512966593638,0.00011519199383346,0
23,0.999969174970298,0.000146161704266502,0.000149641935914495,0
24,0.999965183239833,0.000165089119207488,0.000169020028335077,0
25,0.999962743848993,0.000176655872782535,0.000180862195925433,0
26,0.999960969746564,0.000185068057200751,0.000188936401100676,2.26065332881203e-05
27,0.999955869202081,0.000209253087403122,0.000213159016626403,4.52130665762405e-05
28,0.999948994555169,0.000241850302023709,0.000246532398017406,4.52130665762405e-05
29,0.999943894010686,0.00026603533222608,0.000270755013543133,6.78195998643608e-05
30,0.999936021431157,0.000303364400581913,0.000307358077004233,0.000135639199728722
31,0.999929035902844,0.000336487376728638,0.000339654897705203,0.000203458799593082
32,0.999922161255931,0.000369084591349225,0.000371951718406173,0.000248671866169323
