t,S,I,R,D
1,1,0,0,0
2,1,0,0,0
3,1,0,0,0
4,1,0,0,0
5,0.999999839439322,2.67619391701123e-06,2.79011629204705e-06,0
6,0.999999357757288,1.07047756680449e-05,1.11604651681882e-05,0
7,0.999998876075255,1.87333574190786e-05,1.95308140443294e-05,0
8,0.999998394393221,2.67619391701123e-05,2.79011629204705e-05,0
9,0.99999775215051,3.74667148381572e-05,3.90616280886587e-05,0
10,0.999997109907798,4.81714905062021e-05,5.02220932568469e-05,0
11,0.999996467665086,5.8876266174247e-05,6.13825584250352e-05,0
12,0.999996146543731,6.42286540082694e-05,6.69627910091293e-05,0
13,0.999995985983053,6.69048479252807e-05,6.97529073011763e-05,0
14,0.999995825422375,6.95810418422919e-05,7.25430235932234e-05,0
15,0.999995183179663,8.02858175103368e-05,8.37034887614116e-05,0
16,0.999995183179663,8.02858175103368e-05,8.37034887614116e-05,0
17,0.999995022618986,8.2962011427348e-05,8.64936050534586e-05,0
18,0.999995022618986,8.2962011427348e-05,8.64936050534586e-05,0
19,0.99999470149763,8.83143992613705e-05,9.20738376375527e-05,0
20,0.999994380376274,9.36667870953929e-05,9.76540702216468e-05,0
21,0.999993417012207,0.00010972395059746,0.000114394767973929,0
22,0.999991490284072,0.000141838277601595,0.000147876163478494,0
23,0.999991329723394,0.000144514471518606,0.000150666279770541,0
24,0.999990526920005,0.000157895441103662,0.000164616861230776,0
25,0.99998860019187,0.000190009768107797,0.000198098256735341,0
26,0.999987957949159,0.000200714543775842,0.000209258721903529,0
27,0.999986834024413,0.000219447901194921,0.000228789535947858,0
28,0.999986673463735,0.000222124095111932,0.000231579652239905,0
29,0.999986031221024,0.000232828870779977,0.000242740117408094,0
30,0.999984586174923,0.000256914616033078,0.000267851164036517,0
31,0.999983462250178,0.000275647973452156,0.000287381978080846,0
32,0.999982820007466,0.000286352749120201,0.000298542443249035,0
33,0.999982659446788,0.000289028943037212,0.000301332559541082,0
34,0.999981856643399,0.000302409912622269,0.000315283141001317,0
35,0.999980732718654,0.000321143270041347,0.000334813955045646,0
36,0.999980572157976,0.000323819463958358,0.000337604071337693,0
37,0.99998025103662,0.000329171851792381,0.000343184303921787,0
38,0.99997944823323,0.000342552821377437,0.000357134885382023,0
39,0.999978966551197,0.000350581403128471,0.000365505234258164,0
40,0.999978324308485,0.000361286178796516,0.000371085466842258,0.000131087369731926
41,0.999976558141028,0.000390724311883639,0.000401776746054776,0.000131087369731926
42,0.999975594776961,0.000406781475385706,0.000415727327515011,0.00019663105459789
43,0.99997414973086,0.000430867220638807,0.000440838374143434,0.00019663105459789
44,0.999973828609504,0.00043621960847283,0.000443628490435481,0.000262174739463853
45,0.999973346927471,0.000444248190223864,0.000449208723019575,0.000327718424329816
46,0.999972223002725,0.000462981547642942,0.000468739537063905,0.000327718424329816
47,0.99997190188137,0.000468333935476965,0.000474319769647999,0.000327718424329816
