t,S,I,R,D
1,1,0,0,0
2,1,0,0,0
3,1,0,0,0
4,1,0,0,0
5,1,0,0,0
6,1,0,0,0
7,1,0,0,0
8,1,0,0,0
9,1,0,0,0
10,1,0,0,0
11,1,0,0,0
12,1,0,0,0
13,1,0,0,0
14,1,0,0,0
15,0.999999881089595,3.34093953901716e-06,3.58293234348856e-06,0
16,0.99999952435838,1.33637581560687e-05,1.43317293739542e-05,0
17,0.999999167627165,2.33865767731201e-05,2.50805264044199e-05,0
18,0.999998573075141,4.00912744682059e-05,4.29951881218627e-05,0
19,0.999998335254331,4.67731535462403e-05,5.01610528088398e-05,0
20,0.999996908329472,8.68644280144462e-05,9.31562409307025e-05,0
21,0.999996194867042,0.000106910065248549,0.000114653834991634,0
22,0.999994173390158,0.000163706037411841,0.000175563684830939,0
23,0.999992865375704,0.00020045637234103,0.000214975940609313,0
24,0.999992270823679,0.000217161070036116,0.000229307669983268,4.94657696873763e-05
25,0.999992151913274,0.000220502009575133,0.000232890602326756,4.94657696873763e-05
26,0.99999179518206,0.000230524828192184,0.000243639399357222,4.94657696873763e-05
27,0.999990724988415,0.000260593284043339,0.000275885790448619,4.94657696873763e-05
28,0.999989773705176,0.000287320800355476,0.000304549249196527,4.94657696873763e-05
29,0.999988941332341,0.000310707377128596,0.000329629775600947,4.94657696873763e-05
30,0.999988108959507,0.000334093953901716,0.00034754443731839,0.000148397309062129
31,0.999987276586672,0.000357480530674836,0.00037262496372281,0.000148397309062129
32,0.999987038765862,0.000364162409752871,0.000379790828409787,0.000148397309062129
33,0.999986800945052,0.000370844288830905,0.000386956693096764,0.000148397309062129
34,0.999985849661813,0.000397571805143042,0.000415620151844673,0.000148397309062129
35,0.999985017288978,0.000420958381916162,0.000437117745905604,0.000197863078749505
36,0.999984660557763,0.000430981200533214,0.00044786654293607,0.000197863078749505
37,0.999983709274524,0.000457708716845351,0.000469364136997001,0.000296794618124258
38,0.999982520170475,0.000491118112235523,0.000505193460431887,0.000296794618124258
39,0.999982282349665,0.000497799991313557,0.000512359325118864,0.000296794618124258
40,0.999982044528855,0.000504481870391592,0.000515942257462352,0.000346260387811634
41,0.999981568887235,0.00051784562854766,0.000530273986836307,0.000346260387811634
42,0.999980855424806,0.000537891265781763,0.000548188648553749,0.000395726157499011
43,0.999979785231161,0.000567959721632918,0.000576852107301658,0.000445191927186387
44,0.999979190679137,0.000584664419328003,0.000594766769019101,0.000445191927186387
45,0.999978239395897,0.000611391935640141,0.00061984729542352,0.000494657696873763
46,0.999977644843872,0.000628096633335227,0.000634179024797475,0.00054412346656114
47,0.999977050291848,0.000644801331030312,0.000652093686514918,0.00054412346656114
48,0.999975861187798,0.000678210726420484,0.000687923009949803,0.00054412346656114
49,0.999975385546179,0.000691574484576553,0.000702254739323757,0.00054412346656114
50,0.999974077531724,0.000728324819505741,0.000741666995102132,0.00054412346656114
