t,S,I,R,D
1,1,0,0,0
2,0.999999942620378,1.31458040565322e-06,1.40381219238965e-06,0
3,0.999999885240756,2.62916081130644e-06,2.80762438477931e-06,0
4,0.999999827861134,3.94374121695967e-06,4.21143657716896e-06,0
5,0.999999827861134,3.94374121695967e-06,4.21143657716896e-06,0
6,0.999999713101891,6.57290202826611e-06,7.01906096194827e-06,0
7,0.999999598342647,9.20206283957255e-06,9.82668534672757e-06,0
8,0.999999483583403,1.1831223650879e-05,1.26343097315069e-05,0
9,0.999999426203781,1.31458040565322e-05,1.40381219238965e-05,0
10,0.999999426203781,1.31458040565322e-05,1.40381219238965e-05,0
11,0.999999426203781,1.31458040565322e-05,1.40381219238965e-05,0
12,0.999999311444538,1.57749648678387e-05,1.68457463086758e-05,0
13,0.999999254064916,1.70895452734919e-05,1.82495585010655e-05,0
14,0.999998967166807,2.3662447301758e-05,2.52686194630138e-05,0
15,0.999998795027941,2.76061885187177e-05,2.94800560401827e-05,0
16,0.999998565509454,3.28645101413305e-05,3.50953048097413e-05,0
17,0.999997934333613,4.7324894603516e-05,5.05372389260275e-05,0
18,0.999997704815126,5.25832162261289e-05,5.61524876955861e-05,0
19,0.999997131018907,6.57290202826611e-05,7.01906096194827e-05,0
20,0.999996729361554,7.49310831222336e-05,8.00172949662102e-05,0
21,0.999996212944957,8.67623067731126e-05,9.26516046977171e-05,0
22,0.999995926046848,9.33352088013787e-05,9.82668534672757e-05,2.06812400471532e-05
23,0.999994491556302,0.000126199718942709,0.000133362158277017,2.06812400471532e-05
24,0.999992999686133,0.000160378809489693,0.000169861275279148,2.06812400471532e-05
25,0.999992311130671,0.000176153774357532,0.000186707021587824,2.06812400471532e-05
26,0.999991393056721,0.000197187060847983,0.000209168016666058,2.06812400471532e-05
27,0.999990015945797,0.000228736990583661,0.00024285950928341,2.06812400471532e-05
28,0.999987376483191,0.000289207689243709,0.000307434870133334,2.06812400471532e-05
29,0.999985310816805,0.000336532583847225,0.000357972109059362,2.06812400471532e-05
30,0.999982671354199,0.000397003282507273,0.000422547469909286,2.06812400471532e-05
31,0.999979458095375,0.000470619785223853,0.000501160952683106,2.06812400471532e-05
32,0.999977220290123,0.000521888421044329,0.000550294379416744,0.000103406200235766
33,0.999975728419955,0.000556067511591313,0.000583985872034096,0.000144768680330073
34,0.999972343022265,0.000633627755524853,0.000662599354807916,0.000206812400471532
35,0.999970105217013,0.000684896391345328,0.000713136593733944,0.000268856120612992
36,0.999966088643483,0.000776917019741054,0.00080999963500883,0.000289537360660145
37,0.999962818005037,0.000851848102863288,0.000882997869013092,0.000392943560895911
38,0.999958973570372,0.000939924990042053,0.00097284184932603,0.000454987281037371
39,0.999956391487389,0.000999081108296448,0.00102899433702162,0.000558393481273137
40,0.999953120848943,0.00107401219141868,0.0010991849466411,0.00070316216160321
41,0.999946809090539,0.00121861603604054,0.00124658522684201,0.000806568361838976
42,0.999941874443059,0.00133166995092671,0.00135327495346363,0.00101338076231051
43,0.999935792203142,0.00147101547392595,0.00149084854831781,0.00117883068268773
44,0.999930742796419,0.00158669854962344,0.00160455733590137,0.00132359936301781
45,0.999924488417636,0.00172998781383964,0.00174634236733273,0.00148904928339503
46,0.999919324251669,0.00184830005034843,0.00185022446956956,0.00181994912414948
47,0.999913930567215,0.00197187060847983,0.00195551038399879,0.0022128926850454
48,0.999903315337171,0.00221506798352568,0.00218292795916591,0.00268856120612992
49,0.999892355829397,0.00246615284100544,0.00242297984406454,0.00310218600707298
50,0.999880076590319,0.00274747304781523,0.00269391559719574,0.0035364920480632
51,0.999867567832754,0.00303405157624764,0.00296765897471173,0.00401216056914773
52,0.999857124741577,0.00327330521007652,0.00318384605233973,0.00459123529046802
53,0.999846853789264,0.00350861510268845,0.00338739882023623,0.00529439745207123
54,0.999836238559221,0.00375181247773429,0.00360077827347946,0.00597687837362728
55,0.999819139431907,0.00414355743861895,0.00395594275815404,0.00690753417574918
56,0.999801466508375,0.00454844820356015,0.00431812630379057,0.00794159617810684
57,0.999785170695768,0.00492178903876566,0.00465223360557931,0.00889293322027589
58,0.999767440392614,0.00532799438411251,0.00501722477560062,0.0099063139825864
59,0.999746726349124,0.00580255791055332,0.00542994556016318,0.0112919570657457
60,0.999732496202903,0.00612857385115532,0.00568824700356288,0.0126155564287635
61,0.99971694632538,0.00648482514108734,0.00595356750792452,0.01431141811263
62,0.999691928810251,0.00705798219795215,0.00647297801910869,0.0156763799557421
63,0.999668231026424,0.00760090390548693,0.00691517885971143,0.0177031414803632
64,0.999645451316547,0.00812279232653126,0.0073405339540055,0.0196471780447956
65,0.999625712726628,0.00857500798607596,0.00769429462648769,0.0215498521291337
66,0.999605744618222,0.00903248196724329,0.00803682480143077,0.0237007010940376
67,0.999589047148261,0.00941502486528837,0.00831618342771631,0.0256033751783757
68,0.999570972567377,0.00982911769306914,0.00861659923688769,0.0276921804231382
69,0.999539012118002,0.010561338979018,0.00920760416988374,0.030504829069551
70,0.999514625778713,0.0111200356514206,0.00963857451294736,0.0329452153951151
71,0.999491157513374,0.0116576990373328,0.0100807753535501,0.0348892519595475
72,0.999461779146983,0.0123307642050272,0.0106563383524299,0.0369987384443571
73,0.999433433613786,0.0129801669254199,0.0111925946099227,0.0393150373296383
74,0.999414383579329,0.0134166076200968,0.0115126637897875,0.0414658862945422
75,0.999395677822604,0.0138451608323397,0.0118144834111513,0.0437615039397762
76,0.999356028503901,0.0147535358926461,0.0126371173558917,0.0459330341447273
77,0.999318272712719,0.0156185297995659,0.0133965797519745,0.0483527392302442
78,0.999280172643806,0.0164914111889197,0.0141363887773638,0.0511860691167042
79,0.999244539898633,0.0173077656208303,0.0148411024979434,0.0536471366823155
80,0.999200759247156,0.0183107904703437,0.0157086584328402,0.0566459164891527
81,0.99917614338938,0.018874745464369,0.016111552532056,0.0595826525758484
82,0.999154626031184,0.0193677131164889,0.0164231988387666,0.0627468823030629
83,0.999109066611429,0.0204114899585776,0.0173244462662807,0.0658904307902302
84,0.9990717124776,0.0212672818026578,0.0180375828600147,0.0688478481169731
85,0.999029251557426,0.0222400713028412,0.0189037349827191,0.0713916406427729
86,0.998987479192715,0.0231970858381567,0.019731984176229,0.0742456517692801
87,0.99894220667107,0.0242342897782171,0.0206388468525127,0.077203069096023
88,0.998919771238924,0.0247482907168275,0.0210164723322655,0.0797261803817757
89,0.998895098001525,0.0253135602912584,0.0213969054364031,0.0830144975492731
90,0.998844603934291,0.0264703910482333,0.0224202845246552,0.0861373647963932
91,0.998801798736386,0.0274510680308506,0.0232401108450107,0.089487725684032
92,0.998754517927976,0.0285342822851088,0.0241918955114509,0.0925071867309164
93,0.998711942248558,0.0295097009461035,0.0250131256439988,0.0957541414183194
94,0.998667874698972,0.0305192986976452,0.0258764701423185,0.0989183711455339
95,0.998641766971027,0.0311174327822174,0.0263032290488049,0.102041238392654
