t,S,I,R,D
1,1,0,0,0
2,1,0,0,0
3,1,0,0,0
4,1,0,0,0
5,1,0,0,0
6,1,0,0,0
7,1,0,0,0
8,0.999999821751742,2.32314479464562e-06,2.41030647046772e-06,0
9,0.999999821751742,2.32314479464562e-06,2.41030647046772e-06,0
10,0.999999821751742,2.32314479464562e-06,2.41030647046772e-06,0
11,0.999999821751742,2.32314479464562e-06,2.41030647046772e-06,0
12,0.999999821751742,2.32314479464562e-06,2.41030647046772e-06,0
13,0.999999821751742,2.32314479464562e-06,2.41030647046772e-06,0
14,0.999999108758709,1.16157239732281e-05,1.20515323523386e-05,0
15,0.999998217517419,2.32314479464562e-05,2.41030647046772e-05,0
16,0.999998039269161,2.55545927411018e-05,2.65133711751449e-05,0
17,0.999996969779612,3.94934615089755e-05,4.09752099979512e-05,0
18,0.999995900290063,5.34323302768492e-05,5.54370488207576e-05,0
19,0.999995900290063,5.34323302768492e-05,5.54370488207576e-05,0
20,0.999994830800515,6.73711990447229e-05,6.98988876435639e-05,0
21,0.999993583062708,8.36332126072422e-05,8.67710329368379e-05,0
22,0.999991444083611,0.00011151095014299,0.000115694710582451,0
23,0.999990731090578,0.000120803529321572,0.000125335936464321,0
24,0.999988592111481,0.000148681266857319,0.000154259614109934,0
25,0.999987879118448,0.000157973846035902,0.000163900839991805,0
26,0.999987166125416,0.000167266425214484,0.000173542065873676,0
27,0.999986274884125,0.000178882149187712,0.000185593598226014,0
28,0.999985383642835,0.00019049787316094,0.000197645130578353,0
29,0.999985027146318,0.000195144162750232,0.000202465743519288,0
30,0.99998484889806,0.000197467307544877,0.000204876049989756,0
31,0.999983422911995,0.000216052465902042,0.000224158501753498,0
32,0.999983066415479,0.000220698755491334,0.000228979114694433,0
33,0.999982531670705,0.00022766818987527,0.000236210034105837,0
34,0.999981640429414,0.000239283913848498,0.000248261566458175,0
35,0.999981640429414,0.000239283913848498,0.000248261566458175,0
36,0.999981640429414,0.000239283913848498,0.000248261566458175,0
37,0.999980570939866,0.000253222782616372,0.000262723405280981,0
38,0.999980214443349,0.000257869072205663,0.000262723405280981,0.000128485159964024
39,0.999979679698575,0.0002648385065896,0.000269954324692385,0.000128485159964024
40,0.999979501450317,0.000267161651384246,0.000269954324692385,0.000192727739946036
41,0.999977718967736,0.000290393099330702,0.000294057389397062,0.000192727739946036
42,0.999976292981671,0.000308978257687867,0.000308519228219868,0.00032121289991006
43,0.999974688747348,0.000329886560839677,0.000330211986454078,0.00032121289991006
44,0.99997451049909,0.000332209705634323,0.000332622292924545,0.00032121289991006
45,0.999970410789153,0.000385642035911172,0.000388059341745303,0.00032121289991006
46,0.999968984803088,0.000404227194268337,0.000407341793509045,0.00032121289991006
47,0.999966311079217,0.000439074366188021,0.00044349639056606,0.00032121289991006
48,0.999962746114054,0.000485537262080934,0.000489292213504947,0.000385455479892072
